Nome,Email,CPF,Tipo Sanguíneo
Juliana Martins,juliana.martins@hotmail.com,497.799.102-42,AB-
Fernando Lima,fernando.lima@outlook.com,145.391.206-23,B-
Lucas Alves,lucas.alves@yahoo.com,670.894.215-36,B-
Lucas Costa,lucas.costa@yahoo.com,550.482.553-36,B-
Fernando Costa,fernando.costa@yahoo.com,717.724.784-23,A+
Ana Alves,ana.alves@outlook.com,888.475.549-66,A-
Lucas Silva,lucas.silva@gmail.com,568.774.519-53,B+
Carla Souza,carla.souza@hotmail.com,803.359.214-62,A+
Juliana Silva,juliana.silva@outlook.com,553.688.161-62,O+
Lucas Alves,lucas.alves@hotmail.com,600.173.713-34,AB-
Bruno Pereira,bruno.pereira@outlook.com,316.283.519-93,
Beatriz Costa,beatriz.costa@outlook.com,812.777.612-97,A-
Ana Martins,ana.martins@yahoo.com,837.760.237-81,O+
Pedro Silva,pedro.silva@outlook.com,554.550.391-42,O+
Beatriz Oliveira,beatriz.oliveira@yahoo.com,928.612.658-34,B+
Fernando Lima,fernando.lima@yahoo.com,548.336.589-44,A-
Carla Souza,carla.souza@hotmail.com,704.799.488-80,B-
Bruno Souza,bruno.souza@hotmail.com,686.990.211-84,AB-
Maria Oliveira,maria.oliveira@hotmail.com,491.771.329-13,B-
Beatriz Lima,beatriz.lima@gmail.com,599.363.228-85,O+
Carla Costa,carla.costa@yahoo.com,347.982.503-34,O-
Maria Silva,maria.silva@hotmail.com,150.129.104-61,B-
Lucas Silva,lucas.silva@hotmail.com,561.288.395-65,A-
Fernando Silva,fernando.silva@yahoo.com,896.453.740-85,A-
Beatriz Martins,beatriz.martins@outlook.com,964.260.941-57,AB-
Carla Oliveira,carla.oliveira@outlook.com,219.473.300-85,AB-
Carla Oliveira,carla.oliveira@yahoo.com,122.393.136-92,A-
Juliana Rodrigues,juliana.rodrigues@hotmail.com,317.733.814-63,A-
João Martins,joão.martins@outlook.com,129.436.526-25,O-
Bruno Alves,bruno.alves@outlook.com,798.759.436-17,O+
Beatriz Pereira,beatriz.pereira@hotmail.com,249.945.479-84,B+
Lucas Oliveira,lucas.oliveira@yahoo.com,636.191.272-84,O+
Juliana Ferreira,juliana.ferreira@hotmail.com,928.568.385-41,A-
Pedro Oliveira,pedro.oliveira@hotmail.com,654.580.743-14,AB-
Maria Silva,maria.silva@yahoo.com,281.810.378-25,A+
Bruno Souza,bruno.souza@yahoo.com,346.517.319-95,O-
Ana Lima,ana.lima@outlook.com,998.829.224-41,B-
Pedro Pereira,pedro.pereira@hotmail.com,212.423.343-98,O+
João Martins,joão.martins@hotmail.com,698.434.615-99,O+
João Souza,joão.souza@hotmail.com,139.524.644-16,B-
Carla Pereira,carla.pereira@hotmail.com,338.288.425-22,AB-
Lucas Ferreira,lucas.ferreira@hotmail.com,143.302.259-53,AB-
Carla Costa,carla.costa@gmail.com,717.114.570-37,B+
Maria Pereira,maria.pereira@yahoo.com,881.425.175-14,AB+
Maria Ferreira,maria.ferreira@yahoo.com,833.833.372-38,B-
Ana Rodrigues,ana.rodrigues@yahoo.com,277.713.582-88,B+
Juliana Costa,juliana.costa@gmail.com,370.464.664-60,B-
Carla Silva,carla.silva@yahoo.com,742.877.224-14,AB+
Ana Martins,ana.martins@hotmail.com,180.846.665-33,B-
Bruno Alves,bruno.alves@yahoo.com,694.966.320-72,AB-
Maria Oliveira,maria.oliveira@outlook.com,436.377.959-13,B+
João Rodrigues,joão.rodrigues@gmail.com,521.753.225-28,7446
,joão.costa@gmail.com,739.108.456-92,O+
Ana Oliveira,ana.oliveira@gmail.com,900.680.339-35,AB+
Ana Silva,ana.silva@hotmail.com,813.496.228-20,A-
Ana Pereira,ana.pereira@gmail.com,123.730.421-54,B+
Fernando Pereira,,167.322.923-63,B+
Fernando Pereira,,980.977.934-91,A+
Fernando Rodrigues,fernando.rodrigues@hotmail.com,419.723.622-91,AB-
Lucas Oliveira,lucas.oliveira@gmail.com,475.108.963-50,A-
Beatriz Souza,beatriz.souza@gmail.com,176.925.289-39,O-
Beatriz Oliveira,beatriz.oliveira@yahoo.com,599.761.962-20,O-
Pedro Rodrigues,pedro.rodrigues@hotmail.com,797.750.891-25,B+
Lucas Pereira,lucas.pereira@yahoo.com,509.487.502-51,AB-
Lucas Pereira,lucas.pereira@yahoo.com,428.359.828-86,B+
Fernando Souza,fernando.souza@gmail.com,653.221.724-26,AB-
Lucas Lima,lucas.lima@yahoo.com,346.504.620-66,O+
Bruno Souza,bruno.souza@gmail.com,780.871.191-77,O+
Fernando Lima,fernando.lima@gmail.com,189.294.728-58,A-
8120,maria.souza@yahoo.com,525.775.463-26,A+
Maria Silva,maria.silva@gmail.com,494.307.327-34,O-
Carla Souza,carla.souza@outlook.com,978.977.860-13,A+
Carla Rodrigues,carla.rodrigues@gmail.com,,AB+
Lucas Oliveira,lucas.oliveira@gmail.com,133.501.949-90,AB+
Fernando Costa,fernando.costa@yahoo.com,613.784.866-17,AB-
Carla Silva,carla.silva@outlook.com,594.766.179-99,A+
Ana Silva,ana.silva@yahoo.com,253.338.624-94,AB-
Bruno Silva,bruno.silva@hotmail.com,566.401.323-97,AB+
Bruno Ferreira,bruno.ferreira@hotmail.com,681.750.582-90,A+
Fernando Martins,fernando.martins@outlook.com,423.923.789-81,O+
Carla Ferreira,carla.ferreira@gmail.com,673.204.405-92,AB+
Fernando Costa,fernando.costa@outlook.com,128.176.643-80,O-
Carla Ferreira,carla.ferreira@outlook.com,149.898.208-56,AB+
Lucas Ferreira,lucas.ferreira@yahoo.com,747.345.370-50,O-
Fernando Martins,fernando.martins@hotmail.com,656.451.524-18,AB+
Ana Costa,ana.costa@outlook.com,713.693.209-17,A+
Maria Alves,maria.alves@gmail.com,737.111.272-49,A-
Carla Pereira,carla.pereira@outlook.com,731.412.589-26,AB+
Pedro Oliveira,pedro.oliveira@yahoo.com,226.600.714-88,B+
Lucas Silva,lucas.silva@gmail.com,798.733.157-51,A-
Maria Silva,maria.silva@hotmail.com,397.329.247-21,O-
Bruno Pereira,bruno.pereira@hotmail.com,906.183.760-37,B-
Pedro Martins,pedro.martins@yahoo.com,822.434.342-91,A+
Bruno Silva,bruno.silva@hotmail.com,369.893.342-85,A-
Fernando Silva,fernando.silva@gmail.com,665.589.215-30,AB-
Ana Lima,ana.lima@gmail.com,489.936.259-13,O+
João Souza,joão.souza@yahoo.com,384.214.645-78,O+
Ana Pereira,ana.pereira@outlook.com,263.224.241-52,AB-
Juliana Costa,juliana.costa@yahoo.com,340.311.854-24,B+
Carla Silva,carla.silva@yahoo.com,792.477.427-25,A-
,bruno.silva@outlook.com,566.510.304-46,O+
Carla Ferreira,carla.ferreira@hotmail.com,969.125.973-29,O+
Fernando Ferreira,fernando.ferreira@hotmail.com,886.690.619-37,O+
Ana Ferreira,ana.ferreira@gmail.com,951.203.384-59,O+
Juliana Costa,juliana.costa@outlook.com,696.748.230-49,1220
Carla Oliveira,carla.oliveira@gmail.com,546.347.152-59,AB-
Fernando Ferreira,fernando.ferreira@gmail.com,751.593.383-69,A-
Carla Costa,carla.costa@outlook.com,272.134.692-78,B-
Bruno Rodrigues,bruno.rodrigues@yahoo.com,871.445.686-89,B-
Juliana Souza,juliana.souza@hotmail.com,307.188.597-22,O+
Lucas Oliveira,lucas.oliveira@outlook.com,504.190.748-71,O+
Maria Ferreira,maria.ferreira@yahoo.com,291.270.760-76,A+
Beatriz Souza,beatriz.souza@hotmail.com,659.492.539-98,A+
Ana Oliveira,ana.oliveira@yahoo.com,108.226.534-25,B+
Maria Alves,maria.alves@outlook.com,725.964.828-17,O-
Juliana Rodrigues,juliana.rodrigues@hotmail.com,941.734.398-28,AB+
Maria Alves,maria.alves@hotmail.com,476.241.988-44,AB+
Lucas Souza,,552.991.880-44,A+
Maria Ferreira,maria.ferreira@outlook.com,478.428.994-80,B-
,joão.pereira@hotmail.com,,B+
João Costa,joão.costa@outlook.com,811.507.982-24,AB+
João Costa,joão.costa@hotmail.com,944.352.579-99,9704
Carla Alves,carla.alves@gmail.com,794.522.406-28,O+
Beatriz Alves,beatriz.alves@gmail.com,,
Lucas Silva,lucas.silva@hotmail.com,666.385.651-25,A-
Lucas Ferreira,lucas.ferreira@yahoo.com,160.508.462-38,B-
Ana Costa,ana.costa@yahoo.com,656.827.279-69,A-
Bruno Costa,bruno.costa@hotmail.com,263.853.272-55,AB+
João Souza,joão.souza@yahoo.com,756.481.665-82,O+
Bruno Martins,bruno.martins@yahoo.com,229.241.393-84,O-
Pedro Alves,pedro.alves@gmail.com,865.453.454-41,AB+
Maria Silva,maria.silva@outlook.com,479.678.247-79,A-
Ana Pereira,ana.pereira@yahoo.com,821.557.212-38,O-
Beatriz Martins,beatriz.martins@hotmail.com,944.759.254-58,AB+
Ana Ferreira,ana.ferreira@outlook.com,863.290.877-86,6041
Bruno Oliveira,bruno.oliveira@outlook.com,576.952.323-74,A-
João Oliveira,joão.oliveira@hotmail.com,597.438.628-10,AB-
Fernando Souza,fernando.souza@hotmail.com,616.584.639-85,O-
Maria Costa,maria.costa@outlook.com,559.806.232-32,AB-
Maria Ferreira,maria.ferreira@gmail.com,749.167.980-92,B-
Pedro Pereira,pedro.pereira@outlook.com,559.343.782-55,O-
Ana Alves,ana.alves@gmail.com,995.597.621-52,O+
Juliana Souza,juliana.souza@outlook.com,704.891.478-79,AB-
Juliana Lima,juliana.lima@gmail.com,142.476.237-17,B+
João Oliveira,joão.oliveira@gmail.com,874.355.492-97,O+
Fernando Rodrigues,fernando.rodrigues@hotmail.com,787.619.850-38,O+
Ana Costa,ana.costa@outlook.com,742.677.351-48,A-
Fernando Silva,fernando.silva@hotmail.com,738.222.405-71,B+
Carla Oliveira,carla.oliveira@outlook.com,320.955.381-81,AB-
Fernando Souza,fernando.souza@yahoo.com,121.502.277-56,O-
Maria Ferreira,maria.ferreira@yahoo.com,891.262.321-83,B-
Carla Costa,carla.costa@outlook.com,667.568.822-63,O+
Ana Lima,ana.lima@outlook.com,733.931.826-84,A-
Ana Ferreira,ana.ferreira@outlook.com,203.914.235-29,A+
Fernando Oliveira,fernando.oliveira@hotmail.com,156.821.992-40,AB-
Juliana Costa,juliana.costa@gmail.com,288.277.107-80,AB-
Juliana Alves,juliana.alves@gmail.com,962.628.485-27,A+
Pedro Costa,pedro.costa@yahoo.com,168.330.890-85,O-
,,,B-
Bruno Silva,bruno.silva@outlook.com,643.311.980-50,B+
Juliana Alves,juliana.alves@gmail.com,166.789.529-20,AB-
Ana Oliveira,ana.oliveira@gmail.com,425.188.434-45,A-
Pedro Lima,pedro.lima@hotmail.com,342.606.122-12,AB+
Carla Alves,carla.alves@outlook.com,533.867.124-20,AB+
Lucas Oliveira,lucas.oliveira@yahoo.com,,O+
Pedro Rodrigues,pedro.rodrigues@yahoo.com,538.841.790-68,O-
4931,4673,362.823.735-67,4064
Pedro Rodrigues,pedro.rodrigues@outlook.com,699.317.506-17,B+
Juliana Costa,juliana.costa@gmail.com,494.560.826-31,A-
Lucas Costa,lucas.costa@outlook.com,511.589.832-51,A+
Beatriz Souza,beatriz.souza@yahoo.com,496.327.964-14,AB+
Maria Rodrigues,maria.rodrigues@gmail.com,871.700.549-70,A+
Lucas Rodrigues,lucas.rodrigues@hotmail.com,671.775.788-24,B+
,juliana.martins@gmail.com,822.968.566-78,B-
Carla Souza,carla.souza@yahoo.com,357.375.431-74,B+
Lucas Souza,lucas.souza@hotmail.com,214.101.762-23,A+
Fernando Souza,fernando.souza@gmail.com,180.723.659-48,AB+
Beatriz Rodrigues,beatriz.rodrigues@outlook.com,260.619.418-13,A-
Beatriz Costa,beatriz.costa@hotmail.com,556.992.328-83,O-
Ana Silva,ana.silva@hotmail.com,138.844.146-20,B+
Bruno Oliveira,bruno.oliveira@hotmail.com,,
Pedro Oliveira,pedro.oliveira@gmail.com,979.704.273-32,A-
Bruno Costa,bruno.costa@hotmail.com,375.706.455-44,A+
Bruno Costa,bruno.costa@outlook.com,177.393.810-58,
Pedro Pereira,pedro.pereira@gmail.com,605.554.312-35,AB-
Juliana Alves,juliana.alves@yahoo.com,139.943.463-39,A+
Carla Lima,carla.lima@gmail.com,672.722.920-31,AB+
Ana Souza,ana.souza@outlook.com,420.824.519-17,O+
Fernando Silva,fernando.silva@outlook.com,357.413.318-84,A+
Maria Costa,maria.costa@hotmail.com,856.673.185-23,B+
Juliana Martins,juliana.martins@yahoo.com,510.217.214-54,AB-
João Lima,joão.lima@hotmail.com,257.844.320-30,AB+
Pedro Costa,pedro.costa@gmail.com,343.297.570-68,AB-
Bruno Ferreira,bruno.ferreira@yahoo.com,759.728.202-28,5636
Ana Costa,ana.costa@gmail.com,900.248.927-52,A-
Carla Lima,carla.lima@hotmail.com,288.976.206-37,O+
Pedro Rodrigues,pedro.rodrigues@hotmail.com,,B+
Carla Alves,carla.alves@yahoo.com,310.824.675-37,O-
Lucas Silva,lucas.silva@gmail.com,775.857.654-79,O+
Fernando Lima,fernando.lima@yahoo.com,485.978.358-23,O+
Bruno Souza,bruno.souza@yahoo.com,216.529.632-71,AB+
Juliana Rodrigues,juliana.rodrigues@yahoo.com,538.754.785-80,A+
Pedro Rodrigues,pedro.rodrigues@hotmail.com,298.471.411-46,B+
Maria Lima,maria.lima@outlook.com,549.711.221-18,B-
Beatriz Costa,beatriz.costa@gmail.com,777.980.178-91,O-
Juliana Rodrigues,juliana.rodrigues@yahoo.com,800.983.180-67,O+
Bruno Silva,bruno.silva@yahoo.com,268.999.599-20,A+
João Rodrigues,joão.rodrigues@gmail.com,873.655.633-39,A-
João Lima,joão.lima@yahoo.com,789.244.469-39,B+
Ana Souza,ana.souza@gmail.com,916.454.598-21,AB-
Pedro Pereira,pedro.pereira@gmail.com,217.630.429-77,B-
6305,maria.rodrigues@yahoo.com,863.363.953-42,B-
Lucas Martins,lucas.martins@outlook.com,473.998.876-41,AB+
Maria Lima,maria.lima@gmail.com,929.966.478-85,B+
Juliana Souza,juliana.souza@gmail.com,283.791.165-94,B+
Maria Oliveira,maria.oliveira@yahoo.com,348.230.544-58,O-
Juliana Oliveira,,,O-
Pedro Pereira,pedro.pereira@hotmail.com,879.174.442-84,B-
Ana Silva,ana.silva@gmail.com,448.734.731-88,B+
Juliana Souza,juliana.souza@gmail.com,132.299.205-36,B-
João Alves,joão.alves@outlook.com,908.375.335-84,B+
Maria Ferreira,maria.ferreira@yahoo.com,742.425.394-98,B+
Pedro Martins,pedro.martins@yahoo.com,669.245.400-60,O+
Fernando Ferreira,fernando.ferreira@yahoo.com,681.618.271-47,O-
Pedro Souza,pedro.souza@yahoo.com,337.945.795-80,A-
Maria Silva,maria.silva@yahoo.com,492.947.211-86,AB+
Juliana Costa,juliana.costa@gmail.com,362.566.180-35,A+
Bruno Martins,bruno.martins@gmail.com,661.417.352-69,AB-
Carla Silva,3787,649.536.722-52,B-
Bruno Silva,bruno.silva@yahoo.com,754.221.196-84,B+
Maria Souza,maria.souza@outlook.com,210.131.212-84,8085
Carla Costa,carla.costa@hotmail.com,281.231.222-61,A-
Fernando Rodrigues,fernando.rodrigues@yahoo.com,759.111.668-97,B+
Fernando Alves,fernando.alves@hotmail.com,924.679.677-74,A-
9787,joão.rodrigues@gmail.com,187.175.220-88,8321
João Rodrigues,joão.rodrigues@yahoo.com,186.607.994-48,AB-
Maria Pereira,maria.pereira@outlook.com,759.322.818-91,O+
Bruno Pereira,bruno.pereira@hotmail.com,371.742.223-24,B+
Bruno Martins,bruno.martins@hotmail.com,576.497.113-80,O-
Lucas Pereira,lucas.pereira@yahoo.com,591.309.151-45,A-
Bruno Alves,bruno.alves@gmail.com,655.445.329-57,B+
5893,pedro.costa@outlook.com,898.735.371-57,B+
João Lima,joão.lima@outlook.com,485.739.532-65,O+
Fernando Alves,fernando.alves@outlook.com,400.959.290-52,AB+
Bruno Silva,bruno.silva@outlook.com,816.938.186-17,O+
Ana Oliveira,ana.oliveira@yahoo.com,599.449.441-19,O-
Fernando Alves,fernando.alves@outlook.com,305.522.909-72,AB-
Maria Pereira,maria.pereira@outlook.com,,
Maria Souza,maria.souza@gmail.com,933.398.725-12,A-
Carla Alves,carla.alves@hotmail.com,831.281.759-78,AB-
Fernando Alves,fernando.alves@outlook.com,258.628.328-25,O+
Juliana Martins,juliana.martins@outlook.com,386.247.467-35,AB-
João Souza,joão.souza@yahoo.com,493.618.490-59,AB+
Ana Costa,ana.costa@outlook.com,345.903.265-74,B+
Bruno Costa,bruno.costa@gmail.com,835.323.151-98,O-
Pedro Lima,pedro.lima@outlook.com,170.278.633-78,O+
João Rodrigues,joão.rodrigues@outlook.com,471.551.387-14,O+
Ana Souza,ana.souza@outlook.com,180.666.641-93,A-
Fernando Costa,fernando.costa@yahoo.com,722.216.151-67,O+
Maria Pereira,maria.pereira@hotmail.com,793.941.154-45,AB-
Beatriz Silva,beatriz.silva@gmail.com,288.530.971-96,O+
Ana Alves,ana.alves@hotmail.com,157.729.711-99,
Carla Pereira,carla.pereira@gmail.com,945.286.956-17,O-
Ana Ferreira,ana.ferreira@outlook.com,645.236.964-12,AB+
Carla Costa,carla.costa@hotmail.com,380.695.169-52,B+
Fernando Costa,fernando.costa@yahoo.com,646.720.412-51,AB-
Fernando Rodrigues,fernando.rodrigues@hotmail.com,976.135.849-64,A+
Ana Lima,ana.lima@gmail.com,862.514.205-26,O+
Beatriz Lima,beatriz.lima@yahoo.com,800.206.681-87,A-
Pedro Alves,pedro.alves@hotmail.com,668.815.974-32,AB+
Bruno Rodrigues,bruno.rodrigues@hotmail.com,329.859.416-35,B+
Juliana Oliveira,juliana.oliveira@hotmail.com,833.191.369-48,O-
Lucas Pereira,lucas.pereira@yahoo.com,507.653.132-27,A+
Juliana Ferreira,juliana.ferreira@gmail.com,347.789.863-11,AB+
Ana Rodrigues,ana.rodrigues@gmail.com,500.207.623-99,AB+
Juliana Alves,juliana.alves@yahoo.com,800.101.699-54,B+
Fernando Martins,fernando.martins@outlook.com,509.772.389-38,O+
Fernando Alves,fernando.alves@yahoo.com,298.639.375-45,A+
Maria Souza,maria.souza@gmail.com,163.995.549-52,O-
Bruno Souza,bruno.souza@hotmail.com,401.985.467-10,O-
Carla Rodrigues,carla.rodrigues@hotmail.com,649.192.163-19,AB-
Pedro Martins,pedro.martins@outlook.com,979.579.246-32,O+
Bruno Souza,bruno.souza@yahoo.com,490.616.532-30,B-
Juliana Alves,juliana.alves@yahoo.com,564.890.412-41,AB+
Pedro Lima,pedro.lima@gmail.com,289.124.358-56,A+
Ana Costa,ana.costa@yahoo.com,345.323.321-65,AB-
Maria Souza,maria.souza@hotmail.com,140.170.835-52,A-
Ana Oliveira,ana.oliveira@hotmail.com,736.534.854-13,A-
Ana Costa,ana.costa@outlook.com,203.722.980-60,AB+
Ana Costa,ana.costa@gmail.com,411.520.768-94,B+
Maria Oliveira,maria.oliveira@hotmail.com,154.163.375-94,O+
Beatriz Souza,beatriz.souza@hotmail.com,520.868.496-12,AB-
Juliana Costa,juliana.costa@hotmail.com,467.472.433-13,O+
Lucas Martins,lucas.martins@gmail.com,339.152.422-62,O-
Pedro Oliveira,pedro.oliveira@yahoo.com,861.532.280-77,B+
João Ferreira,,981.874.985-45,
Fernando Lima,fernando.lima@gmail.com,625.349.786-84,AB-
Carla Souza,carla.souza@outlook.com,715.979.192-10,B+
Bruno Silva,bruno.silva@hotmail.com,383.166.382-89,
João Lima,joão.lima@outlook.com,423.733.768-74,B-
Lucas Oliveira,lucas.oliveira@gmail.com,572.518.262-11,A-
Bruno Rodrigues,bruno.rodrigues@hotmail.com,988.535.148-28,B+
Bruno Souza,bruno.souza@gmail.com,830.897.174-35,O+
Bruno Oliveira,bruno.oliveira@hotmail.com,989.490.975-68,B+
Fernando Martins,fernando.martins@hotmail.com,920.122.275-35,O-
Bruno Martins,bruno.martins@hotmail.com,495.213.742-58,O-
Ana Pereira,ana.pereira@gmail.com,117.224.465-10,A-
Lucas Martins,lucas.martins@yahoo.com,119.402.234-94,B+
Bruno Souza,bruno.souza@outlook.com,598.390.899-22,B+
Beatriz Rodrigues,beatriz.rodrigues@yahoo.com,703.691.490-84,O-
Maria Alves,maria.alves@gmail.com,487.140.194-62,O-
João Souza,joão.souza@gmail.com,698.145.171-25,B-
João Martins,joão.martins@outlook.com,783.585.317-15,B-
Carla Martins,carla.martins@yahoo.com,888.476.538-39,AB+
Ana Costa,ana.costa@outlook.com,141.851.345-48,B-
Bruno Martins,bruno.martins@yahoo.com,576.991.827-79,B-
Maria Pereira,maria.pereira@yahoo.com,162.661.335-87,B-
Bruno Martins,bruno.martins@gmail.com,114.100.952-81,O-
Bruno Pereira,bruno.pereira@outlook.com,885.503.326-18,A-
Carla Costa,carla.costa@yahoo.com,594.364.482-19,A+
Lucas Oliveira,lucas.oliveira@yahoo.com,398.401.711-30,A+
Juliana Alves,juliana.alves@outlook.com,762.340.624-17,7198
Ana Rodrigues,ana.rodrigues@outlook.com,681.490.222-96,AB-
Beatriz Costa,beatriz.costa@hotmail.com,436.260.184-44,B-
Carla Oliveira,carla.oliveira@outlook.com,459.873.710-26,O-
Pedro Lima,pedro.lima@hotmail.com,928.921.822-16,O+
Carla Alves,carla.alves@hotmail.com,771.180.892-23,O-
Pedro Souza,pedro.souza@yahoo.com,535.537.307-87,AB+
Juliana Silva,juliana.silva@hotmail.com,828.768.659-33,B-
Beatriz Rodrigues,beatriz.rodrigues@yahoo.com,930.551.325-16,O-
Carla Alves,carla.alves@outlook.com,750.667.161-45,B+
Beatriz Oliveira,beatriz.oliveira@hotmail.com,664.684.391-16,O-
Juliana Silva,juliana.silva@yahoo.com,869.843.661-33,O-
Maria Rodrigues,maria.rodrigues@gmail.com,256.324.617-91,B-
Carla Oliveira,carla.oliveira@hotmail.com,,O-
Juliana Ferreira,juliana.ferreira@gmail.com,964.622.365-72,A+
Fernando Lima,fernando.lima@outlook.com,973.481.226-24,A+
Fernando Ferreira,fernando.ferreira@outlook.com,160.773.740-36,O-
Fernando Martins,fernando.martins@hotmail.com,182.677.815-86,O-
Carla Souza,carla.souza@yahoo.com,,AB+
Beatriz Ferreira,beatriz.ferreira@gmail.com,257.894.436-78,B+
,bruno.martins@yahoo.com,,O+
Pedro Alves,pedro.alves@yahoo.com,178.855.317-51,B+
Juliana Silva,juliana.silva@yahoo.com,375.166.756-73,B+
Beatriz Souza,beatriz.souza@hotmail.com,462.397.567-94,A+
Maria Rodrigues,maria.rodrigues@gmail.com,690.745.111-92,B+
Carla Lima,carla.lima@hotmail.com,741.508.270-89,O-
,beatriz.martins@yahoo.com,,AB+
Fernando Lima,fernando.lima@gmail.com,274.858.911-26,O-
Beatriz Silva,beatriz.silva@outlook.com,132.367.223-88,O-
Carla Costa,carla.costa@gmail.com,492.894.220-18,A+
Lucas Souza,lucas.souza@yahoo.com,730.251.386-46,O-
Bruno Silva,bruno.silva@hotmail.com,467.946.595-85,O+
Lucas Ferreira,lucas.ferreira@yahoo.com,528.766.262-30,A-
Bruno Silva,9588,199.317.312-74,4630
Carla Alves,carla.alves@gmail.com,224.633.312-49,AB-
Juliana Costa,juliana.costa@outlook.com,260.952.145-81,AB-
João Oliveira,joão.oliveira@outlook.com,260.387.199-91,AB+
Beatriz Alves,beatriz.alves@hotmail.com,647.853.100-47,O+
Bruno Costa,bruno.costa@yahoo.com,897.331.234-53,A-
Carla Rodrigues,carla.rodrigues@hotmail.com,339.385.889-47,AB+
Maria Lima,maria.lima@yahoo.com,431.585.928-92,A+
Ana Rodrigues,ana.rodrigues@hotmail.com,400.381.135-86,O-
Bruno Ferreira,bruno.ferreira@gmail.com,929.261.311-83,B-
Bruno Souza,bruno.souza@hotmail.com,832.815.773-62,AB+
João Souza,joão.souza@outlook.com,793.671.364-67,O+
Pedro Costa,pedro.costa@yahoo.com,838.144.368-27,B-
Maria Oliveira,maria.oliveira@yahoo.com,139.415.500-64,B-
Lucas Lima,lucas.lima@hotmail.com,977.492.683-52,B-
Juliana Martins,juliana.martins@outlook.com,104.131.761-33,B-
Fernando Oliveira,fernando.oliveira@gmail.com,959.805.923-80,A+
,carla.souza@outlook.com,134.920.853-55,AB+
8363,juliana.martins@hotmail.com,537.889.448-62,B-
Fernando Martins,fernando.martins@outlook.com,122.666.628-70,A-
Bruno Silva,bruno.silva@gmail.com,363.556.811-95,AB+
Ana Alves,ana.alves@yahoo.com,486.316.310-79,AB+
Pedro Pereira,pedro.pereira@hotmail.com,992.700.456-74,AB-
Pedro Martins,8049,605.683.539-38,B+
9432,beatriz.rodrigues@hotmail.com,845.897.271-37,O-
Lucas Martins,lucas.martins@gmail.com,673.673.675-77,O-
,lucas.silva@gmail.com,817.920.512-54,A-
Lucas Silva,lucas.silva@outlook.com,589.161.326-52,AB-
Pedro Rodrigues,pedro.rodrigues@hotmail.com,829.123.772-82,B-
Juliana Ferreira,juliana.ferreira@hotmail.com,292.233.272-74,B-
Ana Pereira,ana.pereira@hotmail.com,964.955.974-27,O+
Beatriz Alves,beatriz.alves@gmail.com,483.872.722-47,AB-
Fernando Martins,fernando.martins@outlook.com,954.244.679-58,B+
Beatriz Lima,beatriz.lima@hotmail.com,930.270.356-14,O-
Carla Martins,carla.martins@gmail.com,170.470.375-63,AB-
Bruno Silva,bruno.silva@gmail.com,508.917.543-57,O+
Pedro Souza,pedro.souza@yahoo.com,527.433.434-37,A-
Carla Lima,carla.lima@outlook.com,485.303.666-63,A-
Fernando Rodrigues,fernando.rodrigues@gmail.com,916.321.609-31,A-
Lucas Souza,lucas.souza@outlook.com,632.277.357-69,B+
Bruno Costa,bruno.costa@hotmail.com,855.918.778-54,B+
Pedro Martins,pedro.martins@gmail.com,643.965.272-23,B+
Bruno Silva,bruno.silva@gmail.com,932.575.244-41,B-
4521,ana.ferreira@gmail.com,364.578.161-45,AB-
Bruno Alves,bruno.alves@outlook.com,772.679.851-52,O-
Bruno Alves,bruno.alves@hotmail.com,318.276.247-50,B-
Bruno Oliveira,bruno.oliveira@gmail.com,890.792.153-90,
João Lima,joão.lima@gmail.com,587.128.115-30,A+
Lucas Pereira,lucas.pereira@outlook.com,939.999.901-95,B-
Bruno Costa,bruno.costa@hotmail.com,485.191.145-48,B-
Maria Oliveira,maria.oliveira@gmail.com,598.669.891-78,A+
Lucas Costa,lucas.costa@hotmail.com,814.624.372-75,B-
Bruno Martins,bruno.martins@hotmail.com,951.502.812-31,A+
Ana Oliveira,ana.oliveira@yahoo.com,956.279.613-86,B+
João Ferreira,joão.ferreira@outlook.com,866.482.932-25,AB-
Lucas Rodrigues,lucas.rodrigues@outlook.com,627.522.555-26,O-
Carla Martins,carla.martins@outlook.com,345.116.689-87,A+
Juliana Oliveira,juliana.oliveira@outlook.com,527.971.580-37,AB-
Pedro Alves,pedro.alves@outlook.com,647.707.977-58,A-
Beatriz Ferreira,beatriz.ferreira@hotmail.com,498.267.695-31,A-
Carla Rodrigues,carla.rodrigues@outlook.com,711.263.795-10,
Lucas Costa,lucas.costa@gmail.com,761.642.174-53,O-
Pedro Alves,pedro.alves@outlook.com,134.838.666-15,O-
Juliana Alves,juliana.alves@gmail.com,337.782.679-19,A+
João Rodrigues,joão.rodrigues@hotmail.com,,A-
Bruno Rodrigues,bruno.rodrigues@outlook.com,177.656.116-57,4842
Ana Costa,ana.costa@hotmail.com,535.433.694-81,B+
João Ferreira,joão.ferreira@outlook.com,468.833.790-54,B-
Bruno Rodrigues,bruno.rodrigues@gmail.com,245.664.249-17,A-
Fernando Martins,fernando.martins@hotmail.com,575.554.551-85,AB-
Maria Costa,maria.costa@gmail.com,649.258.201-86,B-
João Martins,joão.martins@outlook.com,678.361.414-56,A+
Carla Costa,carla.costa@hotmail.com,806.474.482-43,B+
Fernando Oliveira,fernando.oliveira@hotmail.com,345.364.507-50,O-
